,id,original_language,popularity,release_date,title,vote_average,vote_count,budget,revenue,runtime,director,actor1,actor2,production_company,production_country,genre
31,1051896,en,76.783,2024-04-12,Arcadian,6.274,160,0,859453,92,Benjamin Brewer,Nicolas Cage,Jaeden Martell,Highland Film Group,Ireland,Science Fiction
32,128,ja,63.889,1997-07-12,Princess Mononoke,8.34,7707,23500000,169000000,134,Hayao Miyazaki,Youji Matsuda,Yuriko Ishida,Studio Ghibli,Japan,Adventure
33,1029955,en,50.699,2024-05-30,Kinds of Kindness,6.5,4,15000000,0,164,Yorgos Lanthimos,Emma Stone,Jesse Plemons,Element Pictures,Ireland,Drama
34,1020006,en,60.231,2023-10-27,Priscilla,7.0,590,20000000,30140906,110,Sofia Coppola,Cailee Spaeny,Jacob Elordi,American Zoetrope,Italy,Drama
35,646683,en,59.003,2024-05-30,The Exorcism,4.4,5,0,0,93,Joshua John Miller,Russell Crowe,Ryan Simpkins,Miramax,United States of America,Horror
36,964960,fr,60.493,2023-11-08,The Taste of Things,7.1,133,6500000,5970753,135,Tran Anh Hung,Benoît Magimel,Juliette Binoche,Curiosa Films,Belgium,Drama
37,1001311,fr,53.075,2024-06-05,Under Paris,0.0,0,0,0,101,Xavier Gens,Bérénice Bejo,Nassim Lyes,Full Players,France,Mystery
38,1072342,en,58.086,2024-01-03,Night Swim,5.69,422,15000000,54075969,98,Bryce McGuire,Wyatt Russell,Kerry Condon,Atomic Monster,United States of America,Horror
39,1008409,en,49.276,2024-06-19,The Bikeriders,0.0,0,40000000,0,116,Jeff Nichols,Jodie Comer,Austin Butler,Tri-State Pictures,United States of America,Crime
40,1015634,en,50.833,2024-04-12,Sasquatch Sunset,6.341,22,0,897669,88,Nathan Zellner,Riley Keough,Jesse Eisenberg,Square Peg,United States of America,Fantasy
42,628922,en,49.139,2024-03-28,Asphalt City,5.618,38,0,457810,120,Jean-Stéphane Sauvaire,Tye Sheridan,Sean Penn,Sculptor Media,United Kingdom,Drama
43,942881,ja,40.701,2022-12-23,Lonely Castle in the Mirror,6.98,49,0,0,116,Keiichi Hara,Ami Touma,Mana Ashida,Shochiku,Japan,Animation
44,852247,en,37.26,2024-03-01,Problemista,6.594,32,0,385720,104,Julio Torres,Julio Torres,Tilda Swinton,Fruit Tree,United States of America,Comedy
45,958006,en,37.095,2023-09-14,The Kill Room,6.089,146,50000000,476375,98,Nicol Paone,Uma Thurman,Joe Manganiello,Yale Productions,United States of America,Comedy
46,1103621,th,55.237,2024-04-04,How to Make Millions Before Grandma Dies,8.3,10,0,8400000,126,Pat Boonnitipat,Putthipong Assaratanakul,Usha Seamkhum,GDH 559,Thailand,Drama
47,1263421,ja,43.331,2024-06-05,Baki Hanma VS Kengan Ashura,0.0,0,0,0,60,Toshiki Hirano,Nobunaga Shimazaki,Tatsuhisa Suzuki,TMS Entertainment,Japan,Animation
48,149870,ja,43.057,2013-07-20,The Wind Rises,7.8,2871,30000000,117932401,126,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Studio Ghibli,Japan,Drama
49,977262,en,35.247,2024-05-30,Ezra,6.0,1,0,570000,100,Tony Goldwyn,Bobby Cannavale,William A. Fitzgerald,Closer Media,United States of America,Comedy
50,923667,cn,40.189,2024-04-23,Twilight of the Warriors: Walled In,7.6,17,38400000,46366411,125,Soi Cheang,Louis Koo,Sammo Hung,Entertaining Power,China,Action
51,1264800,hi,30.571,2024-05-31,Savi,0.0,0,0,0,122,Abhinay Deo,Divya Khosla Kumar,Anil Kapoor,Vishesh Films,India,Action
52,1209574,ms,50.292,2024-04-18,Sheriff: Narko Integriti,8.0,4,1255886,0,133,Syafiq Yusof,Zul Ariffin,Syafiq Kyle,Skop Productions Sdn. Bhd.,Malaysia,Action
53,734002,pl,40.244,2023-10-13,The Peasants,7.667,78,7475000,9811169,115,Hugh Welchman,Kamila Urzędowska,Robert Gulaczyk,Breakthru Films,Lithuania,Animation
54,21057,ja,29.317,1994-10-07,Ocean Waves,6.4,825,0,0,72,Tomomi Mochizuki,Nobuo Tobita,Youko Sakamoto,Studio Ghibli,Japan,Animation
55,916723,en,32.192,2024-06-21,What Remains,0.0,0,0,0,131,Ran Huang,Gustaf Skarsgård,Andrea Riseborough,Film Service Finland,Finland,Drama
56,149871,ja,33.895,2013-11-23,The Tale of The Princess Kaguya,8.08,1684,49300000,24366656,137,Isao Takahata,Aki Asakura,Takeo Chii,Studio Ghibli,Japan,Animation
57,943134,fr,31.635,2023-10-04,The Animal Kingdom,7.064,534,14500000,0,127,Thomas Cailley,Romain Duris,Paul Kircher,StudioCanal,Belgium,Science Fiction
58,932086,en,26.525,2024-06-26,Horizon: An American Saga - Chapter 1,0.0,0,0,0,181,Kevin Costner,Kevin Costner,Sienna Miller,Territory Pictures,United States of America,Western
59,1025491,en,30.683,2023-12-22,Freud's Last Session,6.565,54,10000000,1697993,109,Matt Brown,Anthony Hopkins,Matthew Goode,WestEnd Films,Ireland,Drama
60,586810,fr,36.889,2023-11-22,Mars Express,7.7,163,7900000,0,85,Jérémie Périn,Léa Drucker,Mathieu Amalric,Everybody on Deck,France,Animation
61,1082063,pt,39.816,2024-01-18,Amelia’s Children,5.467,15,0,0,91,Gabriel Abrantes,Brigette Lundy-Paine,Carloto Cotta,Artificial Humors,Portugal,Horror
62,1211650,ja,37.137,2024-03-01,Ya Boy Kongming! Road to Summer Sonia,7.0,1,0,0,119,Shu Honma,Kaede Hondo,Ryotaro Okiayu,Kodansha,Japan,Animation
63,1188258,zh,33.173,2024-03-14,18×2 Beyond Youthful Days,7.833,4,0,0,124,Michihito Fujii,Greg Hsu,Kaya Kiyohara,Jumpboys Films,Japan,Romance
64,798362,en,29.595,2023-09-28,The Marsh King's Daughter,6.481,239,0,0,109,Neil Burger,Daisy Ridley,Ben Mendelsohn,Black Bear Pictures,United States of America,Thriller
65,1045205,de,23.748,2023-04-13,Someday We'll Tell Each Other Everything,6.152,23,0,0,129,Emily Atef,Marlene Burow,Felix Kramer,Row Pictures,Germany,Drama
66,834562,en,37.26,2024-05-09,Poolman,5.7,6,0,0,100,Chris Pine,Chris Pine,Danny DeVito,AGC Studios,United States of America,Mystery
67,955991,en,23.759,2022-09-23,The Offering,5.941,287,0,0,93,Oliver Park,Nick Blood,Emm Wiseman,Millennium Media,Bulgaria,Drama
68,1032425,en,24.992,2024-05-01,The Dead Don't Hurt,6.3,28,0,473323,130,Viggo Mortensen,Vicky Krieps,Viggo Mortensen,Talipot Studio,Mexico,Drama
69,989596,en,19.58,2023-11-29,The Braid,7.7,95,8500000,9235757,121,Laetitia Colombani,Kim Raver,Fotinì Peluso,France 2 Cinéma,Belgium,Drama
70,865910,ko,22.421,2024-05-29,The Plot,0.0,0,0,0,100,Lee Yo-sup,Gang Dong-won,Lee Moo-saeng,Zip Cinema,South Korea,Crime
71,665733,tr,26.721,2023-07-12,About Dry Grasses,7.7,73,3720000,0,197,Nuri Bilge Ceylan,Deniz Celiloğlu,Merve Dizdar,NBC Film,France,Drama
72,337703,fr,18.694,2016-06-29,The Red Turtle,7.474,1210,0,921974,80,Michael Dudok de Wit,Tom Hudson,Baptiste Goy,Wild Bunch,Belgium,Animation
73,8740,nl,23.174,1988-10-27,The Vanishing,7.5,592,0,0,106,George Sluizer,Bernard-Pierre Donnadieu,Gene Bervoets,MGS Film,France,Thriller
74,804616,en,24.239,2024-03-22,Something in the Water,4.1,10,0,0,86,Hayley Easton Street,Hiftu Quasem,Lauren Lyle,Dan Films,United Kingdom,Thriller
75,944952,en,17.213,2023-10-06,The Royal Hotel,5.362,109,0,877412,91,Kitty Green,Julia Garner,Jessica Henwick,See-Saw Films,Australia,Drama
76,1226170,th,16.146,2024-05-30,Haunted Universities 3,5.0,1,0,0,119,Nontawat Numbenchapol,Chutavuth Pattarakampol,Nichaphat Chatchaipholrat,Sahamongkolfilm,Thailand,Horror
77,567811,en,23.574,2024-04-18,10 Lives,7.5,2,0,0,84,Christopher Jenkins,Mo Gilligan,Simone Ashley,GFM Animation,Canada,Animation
78,1146972,ja,21.402,2024-01-26,Mobile Suit Gundam SEED FREEDOM,7.3,7,0,30150000,125,Mitsuo Fukuda,Soichiro Hoshi,Rie Tanaka,Shochiku,Japan,Animation
79,667717,zh,18.54,2023-01-22,Deep Sea,6.9,84,28700000,136090000,112,Tian Xiao Peng,Wang Ting Wen,Su Xin,October Media,China,Animation
80,11660,en,17.728,1999-04-02,Following,7.151,1507,6000,48482,69,Christopher Nolan,Jeremy Theobald,Alex Haw,Next Wave Films,United Kingdom,Drama
81,2759,en,26.431,1994-05-31,"The Adventures of Priscilla, Queen of the Desert",7.262,759,2000000,28200000,104,Stephan Elliott,Hugo Weaving,Guy Pearce,PolyGram Filmed Entertainment,Australia,Drama
82,921353,en,19.347,2022-07-15,Wrong Place,4.444,72,0,0,96,Mike Burns,Ashley Greene,Bruce Willis,Buffalo 8,United States of America,Thriller
